video,path,status,frames,pose_frames,duration_sec,fps,calibration_angle,total_reps,full_reps,partial_reps,paused_frames,mean_depth_angle,min_depth_angle,error
A1_backlit-loose_t1.mp4,D:\Project Hub\ComVis\dataset\A1_backlit-loose_t1.mp4,ok,1096,1096,36.533,30.0,170.867,10,10,0,26,60.543,52.305,
A1_backlit_t1(1).mp4,D:\Project Hub\ComVis\dataset\A1_backlit_t1(1).mp4,ok,920,920,30.667,30.0,171.812,10,10,0,0,22.549,3.591,
A1_base-end_t1 (1).mp4,D:\Project Hub\ComVis\dataset\A1_base-end_t1 (1).mp4,ok,1203,1203,40.1,30.0,171.569,10,10,0,0,29.271,4.952,
A1_base_t1  (1).mp4,D:\Project Hub\ComVis\dataset\A1_base_t1  (1).mp4,ok,1123,1122,37.433,30.0,168.345,10,9,1,0,30.825,0.041,
A1_diag-1m_t1 (1).mp4,D:\Project Hub\ComVis\dataset\A1_diag-1m_t1 (1).mp4,ok,1054,442,35.133,30.0,169.249,7,6,1,17,38.334,13.003,
A1_dim-loose_t1.mp4,D:\Project Hub\ComVis\dataset\A1_dim-loose_t1.mp4,ok,1096,1096,36.533,30.0,172.024,10,10,0,16,47.894,39.936,
A1_dim_t1 (1).mp4,D:\Project Hub\ComVis\dataset\A1_dim_t1 (1).mp4,ok,963,960,32.1,30.0,175.265,10,10,0,1,34.277,0.36,
A1_front-1m_t1(1).mp4,D:\Project Hub\ComVis\dataset\A1_front-1m_t1(1).mp4,ok,1128,1121,37.6,30.0,172.502,10,10,0,6,27.257,17.985,
A1_front-2m_t1 (1).mp4,D:\Project Hub\ComVis\dataset\A1_front-2m_t1 (1).mp4,ok,1138,1138,37.933,30.0,177.016,10,10,0,0,31.239,19.945,
A1_loose_t1.mp4,D:\Project Hub\ComVis\dataset\A1_loose_t1.mp4,ok,1096,1096,36.533,30.0,173.236,10,10,0,5,58.371,48.12,
A1_parallel_t1.mp4,D:\Project Hub\ComVis\dataset\A1_parallel_t1.mp4,ok,1096,1096,36.533,30.0,171.602,9,9,0,24,31.323,4.94,
A1_partial_t1.mp4,D:\Project Hub\ComVis\dataset\A1_partial_t1.mp4,ok,1387,1386,46.233,30.0,175.001,0,0,0,42,,,
A1_side-1m_t1.mp4,D:\Project Hub\ComVis\dataset\A1_side-1m_t1.mp4,ok,1450,1373,48.333,30.0,170.95,10,10,0,21,45.716,39.068,
A1_side-2m_t1.mp4,D:\Project Hub\ComVis\dataset\A1_side-2m_t1.mp4,ok,1450,1390,48.333,30.0,172.922,10,10,0,7,43.515,31.303,
